Frame Index,Player 1 Shot Speed (km/h),Player 2 Shot Speed (km/h),Player 1 Speed (km/h),Player 2 Speed (km/h),Player 1 Average Shot Speed (km/h),Player 2 Average Shot Speed (km/h),Player 1 Average Speed (km/h),Player 2 Average Speed (km/h)
0,0.0,0.0,0.0,0.0,,,,
1,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,,,,
5,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,,,,
11,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
12,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
13,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
14,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
15,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
16,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
17,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
18,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
19,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
20,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
21,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
22,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
23,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
24,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
25,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
26,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
27,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
28,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
29,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
30,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
31,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
32,33.06706920612617,0.0,0.0,1.7203199897275607,33.06706920612617,,,1.7203199897275607
